"","Symbol","Name","Sector"
"138","FFIV","F5 Networks","Information Technology"
"139","FAST","Fastenal Co","Industrials"
"140","FDX","FedEx Corporation","Industrials"
"141","FIS","Fidelity National Information Services","Information Technology"
"142","FITB","Fifth Third Bancorp","Financials"
"143","FHN","First Horizon National","Financials"
"144","FSLR","First Solar Inc","Industrials"
"145","FE","FirstEnergy Corp","Utilities"
"146","FISV","Fiserv Inc","Information Technology"
"147","FLS","Flowserve Corporation","Industrials"
"148","FLR","Fluor Corp.","Industrials"
"149","FMC","FMC Corporation","Materials"
"150","FTI","FMC Technologies Inc.","Energy"
"151","F","Ford Motor","Consumer Discretionary"
"152","FOSL","Fossil, Inc.","Consumer Discretionary"
"153","BEN","Franklin Resources","Financials"
"154","FCX","Freeport-McMoran Cp & Gld","Materials"
"155","GME","GameStop Corp.","Consumer Discretionary"
"156","GCI","Gannett Co.","Consumer Discretionary"
"157","GPS","Gap (The)","Consumer Discretionary"
"158","GD","General Dynamics","Industrials"
"159","GE","General Electric","Industrials"
"160","GIS","General Mills","Consumer Staples"
"161","GPC","Genuine Parts","Consumer Discretionary"
"162","GNW","Genworth Financial Inc.","Financials"
"163","GILD","Gilead Sciences","Health Care"
"164","GS","Goldman Sachs Group","Financials"
"165","GT","Goodyear Tire & Rubber","Consumer Discretionary"
"166","GOOG","Google Inc.","Information Technology"
"167","GWW","Grainger (W.W.) Inc.","Industrials"
"168","HAL","Halliburton Co.","Energy"
"169","HOG","Harley-Davidson","Consumer Discretionary"
"170","HIG","Hartford Financial Svc.Gp.","Financials"
"171","HAS","Hasbro Inc.","Consumer Discretionary"
"172","HP","Helmerich & Payne","Energy"
"173","HES","Hess Corporation","Energy"
"174","HPQ","Hewlett-Packard","Information Technology"
"175","HD","Home Depot","Consumer Discretionary"
"176","HON","Honeywell Int'l Inc.","Industrials"
"177","HRL","Hormel Foods Corp.","Consumer Staples"
"178","HST","Host Hotels & Resorts","Financials"
"179","HUM","Humana Inc.","Health Care"
"180","HBAN","Huntington Bancshares","Financials"
"181","ITW","Illinois Tool Works","Industrials"
"182","IR","Ingersoll-Rand PLC","Industrials"
"183","INTC","Intel Corp.","Information Technology"
"184","ICE","IntercontinentalExchange Inc.","Financials"
"185","IBM","International Bus. Machines","Information Technology"
"186","IFF","International Flav/Frag","Materials"
"187","IGT","International Game Technology","Consumer Discretionary"
"188","IP","International Paper","Materials"
"189","IPG","Interpublic Group","Consumer Discretionary"
"190","INTU","Intuit Inc.","Information Technology"
"191","ISRG","Intuitive Surgical Inc.","Health Care"
"192","IVZ","Invesco Ltd.","Financials"
"193","IRM","Iron Mountain Incorporated","Industrials"
"194","JBL","Jabil Circuit","Information Technology"
"195","JNJ","Johnson & Johnson","Health Care"
"196","JCI","Johnson Controls","Consumer Discretionary"
"197","JPM","JPMorgan Chase & Co.","Financials"
"198","JNPR","Juniper Networks","Information Technology"
"199","K","Kellogg Co.","Consumer Staples"
"200","KEY","KeyCorp","Financials"
"201","KMB","Kimberly-Clark","Consumer Staples"
"202","KIM","Kimco Realty","Financials"
"203","KMI","Kinder Morgan","Energy"
"204","KLAC","KLA-Tencor Corp.","Information Technology"
"205","KSS","Kohl's Corp.","Consumer Discretionary"
"206","KR","Kroger Co.","Consumer Staples"
"207","LLL","L-3 Communications Holdings","Industrials"
"208","LH","Laboratory Corp. of America Holding","Health Care"
"209","LRCX","Lam Research","Information Technology"
"210","LEG","Leggett & Platt","Consumer Discretionary"
"211","LEN","Lennar Corp.","Consumer Discretionary"
"212","LIFE","Life Technologies","Health Care"
"213","LLY","Lilly (Eli) & Co.","Health Care"
"214","LNC","Lincoln National","Financials"
"215","LMT","Lockheed Martin Corp.","Industrials"
"216","L","Loews Corp.","Financials"
"217","LOW","Lowe's Cos.","Consumer Discretionary"
"218","LSI","LSI Corporation","Information Technology"
"219","MTB","M&T Bank Corp.","Financials"
"220","M","Macy's Inc.","Consumer Discretionary"
"221","MRO","Marathon Oil Corp.","Energy"
"222","MPC","Marathon Petroleum","Energy"
"223","MAR","Marriott Int'l.","Consumer Discretionary"
"224","MMC","Marsh & McLennan","Financials"
"225","MAS","Masco Corp.","Industrials"
"226","MA","Mastercard Inc.","Information Technology"
"227","MAT","Mattel Inc.","Consumer Discretionary"
"228","MKC","McCormick & Co.","Consumer Staples"
"229","MCD","McDonald's Corp.","Consumer Discretionary"
"230","MCK","McKesson Corp.","Health Care"
"231","MDT","Medtronic Inc.","Health Care"
"232","MRK","Merck & Co.","Health Care"
"233","MET","MetLife Inc.","Financials"
"234","MCHP","Microchip Technology","Information Technology"
"235","MU","Micron Technology","Information Technology"
"236","MSFT","Microsoft Corp.","Information Technology"
"237","TAP","Molson Coors Brewing Company","Consumer Staples"
"238","MNST","Monster Beverage","Consumer Staples"
"239","MCO","Moody's Corp","Financials"
"240","MS","Morgan Stanley","Financials"
"241","MOS","The Mosaic Company","Materials"
"242","MSI","Motorola Solutions Inc.","Information Technology"
"243","MUR","Murphy Oil","Energy"
"244","NBR","Nabors Industries Ltd.","Energy"
"245","NDAQ","NASDAQ OMX Group","Financials"
"246","NOV","National Oilwell Varco Inc.","Energy"
"247","NTAP","NetApp","Information Technology"
"248","NFLX","NetFlix Inc.","Information Technology"
"249","NWL","Newell Rubbermaid Co.","Consumer Discretionary"
"250","NFX","Newfield Exploration Co","Energy"
"251","NEM","Newmont Mining Corp. (Hldg. Co.)","Materials"
"252","NWSA","News Corporation","Consumer Discretionary"
"253","NEE","NextEra Energy Resources","Utilities"
"254","NKE","NIKE Inc.","Consumer Discretionary"
"255","NI","NiSource Inc.","Utilities"
"256","JWN","Nordstrom","Consumer Discretionary"
"257","NSC","Norfolk Southern Corp.","Industrials"
"258","NTRS","Northern Trust Corp.","Financials"
"259","NOC","Northrop Grumman Corp.","Industrials"
"260","NRG","NRG Energy","Utilities"
"261","NUE","Nucor Corp.","Materials"
"262","NVDA","Nvidia Corporation","Information Technology"
"263","ORLY","O'Reilly Automotive","Consumer Discretionary"
"264","OXY","Occidental Petroleum","Energy"
"265","OMC","Omnicom Group","Consumer Discretionary"
"266","OKE","ONEOK","Utilities"
"267","ORCL","Oracle Corp.","Information Technology"
"268","OI","Owens-Illinois Inc","Materials"
"269","PCAR","PACCAR Inc.","Industrials"
"270","PLL","Pall Corp.","Industrials"
"271","PH","Parker-Hannifin","Industrials"
"272","PDCO","Patterson Companies","Health Care"
"273","PAYX","Paychex Inc.","Information Technology"
"274","BTU","Peabody Energy","Energy"
"275","PBCT","People's United Bank","Financials"
"276","PEP","PepsiCo Inc.","Consumer Staples"
"277","PKI","PerkinElmer","Health Care"
"278","PRGO","Perrigo","Health Care"
"279","PFE","Pfizer Inc.","Health Care"
"280","PCG","PG&E Corp.","Utilities"
"281","PM","Philip Morris International","Consumer Staples"
"282","PSX","Phillips 66","Energy"
"283","PNW","Pinnacle West Capital","Utilities"
"284","PXD","Pioneer Natural Resources","Energy"
"285","PBI","Pitney-Bowes","Industrials"
"286","PNC","PNC Financial Services","Financials"
"287","RL","Polo Ralph Lauren Corp.","Consumer Discretionary"
"288","PPG","PPG Industries","Materials"
"289","PPL","PPL Corp.","Utilities"
"290","PFG","Principal Financial Group","Financials"
"291","PG","Procter & Gamble","Consumer Staples"
"292","PGR","Progressive Corp.","Financials"
"293","PLD","ProLogis","Financials"
"294","PRU","Prudential Financial","Financials"
"295","PEG","Public Serv. Enterprise Inc.","Utilities"
"296","PSA","Public Storage","Financials"
"297","PHM","Pulte Homes Inc.","Consumer Discretionary"
"298","PWR","Quanta Services Inc.","Industrials"
"299","QCOM","QUALCOMM Inc.","Information Technology"
"300","DGX","Quest Diagnostics","Health Care"
"301","RRC","Range Resources Corp.","Energy"
"302","RF","Regions Financial Corp.","Financials"
"303","RSG","Republic Services Inc","Industrials"
"304","RHI","Robert Half International","Industrials"
"305","ROK","Rockwell Automation Inc.","Industrials"
"306","COL","Rockwell Collins","Industrials"
"307","ROP","Roper Industries","Industrials"
"308","ROST","Ross Stores Inc.","Consumer Discretionary"
"309","R","Ryder System","Industrials"
"310","CRM","Salesforce.com","Information Technology"
"311","SLB","Schlumberger Ltd.","Energy"
"312","STX","Seagate Technology","Information Technology"
"313","SEE","Sealed Air Corp.(New)","Materials"
"314","SRE","Sempra Energy","Utilities"
"315","SHW","Sherwin-Williams","Consumer Discretionary"
"316","SPG","Simon Property Group Inc","Financials"
"317","SLM","SLM Corporation","Financials"
"318","SJM","Smucker (J.M.)","Consumer Staples"
"319","SNA","Snap-On Inc.","Consumer Discretionary"
"320","SO","Southern Co.","Utilities"
"321","LUV","Southwest Airlines","Industrials"
"322","SWN","Southwestern Energy","Energy"
"323","SE","Spectra Energy Corp.","Energy"
"324","SWK","Stanley Black & Decker","Consumer Discretionary"
"325","SBUX","Starbucks Corp.","Consumer Discretionary"
"326","STT","State Street Corp.","Financials"
"327","SRCL","Stericycle Inc","Industrials"
"328","SYK","Stryker Corp.","Health Care"
"329","SUN","Sunoco Inc.","Energy"
"330","SYY","Sysco Corp.","Consumer Staples"
"331","TROW","T. Rowe Price Group","Financials"
"332","TGT","Target Corp.","Consumer Discretionary"
"333","TEL","TE Connectivity Ltd.","Information Technology"
"334","THC","Tenet Healthcare Corp.","Health Care"
"335","TDC","Teradata Corp.","Information Technology"
"336","TER","Teradyne Inc.","Information Technology"
"337","TXN","Texas Instruments","Information Technology"
"338","TXT","Textron Inc.","Industrials"
"339","HSY","The Hershey Company","Consumer Staples"
"340","TRV","The Travelers Companies Inc.","Financials"
"341","TMO","Thermo Fisher Scientific","Health Care"
"342","TJX","TJX Companies Inc.","Consumer Discretionary"
"343","TRIP","TripAdvisor","Consumer Discretionary"
"344","TSN","Tyson Foods","Consumer Staples"
"345","USB","U.S. Bancorp","Financials"
"346","UNP","Union Pacific","Industrials"
"347","UNH","United Health Group Inc.","Health Care"
"348","UPS","United Parcel Service","Industrials"
"349","X","United States Steel Corp.","Materials"
"350","UNM","Unum Group","Financials"
"351","URBN","Urban Outfitters","Consumer Discretionary"
"352","VFC","V.F. Corp.","Consumer Discretionary"
"353","VLO","Valero Energy","Energy"
"354","VTR","Ventas Inc","Financials"
"355","VRSN","Verisign Inc.","Information Technology"
"356","VZ","Verizon Communications","Telecommunications Services"
"357","V","Visa Inc.","Information Technology"
"358","VNO","Vornado Realty Trust","Financials"
"359","VMC","Vulcan Materials","Materials"
"360","WMT","Wal-Mart Stores","Consumer Staples"
"361","DIS","Walt Disney Co.","Consumer Discretionary"
"362","WM","Waste Management Inc.","Industrials"
"363","WAT","Waters Corporation","Health Care"
"364","WFC","Wells Fargo","Financials"
"365","WDC","Western Digital","Information Technology"
"366","WU","Western Union Co","Information Technology"
"367","WY","Weyerhaeuser Corp.","Financials"
"368","WHR","Whirlpool Corp.","Consumer Discretionary"
"369","WMB","Williams Cos.","Energy"
"370","WEC","Wisconsin Energy Corporation","Utilities"
"371","WYNN","Wynn Resorts Ltd","Consumer Discretionary"
"372","XEL","Xcel Energy Inc","Utilities"
"373","XRX","Xerox Corp.","Information Technology"
"374","XLNX","Xilinx Inc","Information Technology"
"375","XYL","Xylem Inc.","Industrials"
"376","YUM","Yum! Brands Inc","Consumer Discretionary"
"377","ZION","Zions Bancorp","Financials"
